ID X Y Elevation Lon Lat
128 256 0 1027.25 -95.9975497377798 22.9999999696307
129 1051.433 426.1508 1020 -95.9899359487222 23.0039209493589
130 522.2494 529.6569 1024.6 -95.9950011084389 23.0048737951517
131 635.7522 931.9267 1026.85 -95.9939144303913 23.0085753763926
132 506.25 1000 1034.75 -95.9951540226832 23.0092018428781
133 567.5564 943.523 1030.4 -95.9945672102837 23.0086821215377
134 617.0407 583.2051 1020.95 -95.9940937487278 23.0053664926394
135 675.2381 547.1829 1017.15 -95.9935367125435 23.0050349836213
136 677.82 467.9344 1015.4 -95.9935120507341 23.0043057405342
137 728.5701 583.5289 1015.2 -95.9930262003492 23.0053694026787
138 512 0 1014.5 -95.9950994755628 22.9999998785227
139 580.7912 405.0354 1019.1 -95.9944408250429 23.0037270016892
140 679.3468 344.5568 1012.9 -95.9934975173324 23.0031704200051
141 764.7874 361.4375 1008.95 -95.9926796957519 23.0033256991579
142 748.2124 446.9379 1011.4 -95.9928382847602 23.0041124847483
143 864.8593 336.6123 1008.95 -95.9917218597294 23.003097181871
144 768 0 1001.5 -95.9926492133524 22.9999997266762
145 734.286 291.1522 1009.05 -95.9929716953042 23.0026789538842
146 621.1782 229.7556 1013.6 -95.9940543566606 23.0021140511607
147 815.4956 268.1473 1005.4 -95.9921944061682 23.0024672037642
148 949.9661 223.2215 1011 -95.990907350116 23.0020536846796
149 738.0007 149.4241 1006 -95.9929362404497 23.0013747623785
150 889.7349 266.6486 1008.8 -95.9914838189242 23.0024533540099
151 850.4607 160.6708 1004.7 -95.9918598225002 23.0014781725154
152 978.0115 325.6015 1014.5 -95.9906388155865 23.0029957636965
153 758.239 220.8673 1006.4 -95.9927424777281 23.002032172986
154 690.4662 236.9944 1010.2 -95.9933911577147 23.0021806208109
155 650.2001 287.1878 1013.2 -95.993776535855 23.0026425273134
156 662.9281 165.3599 1010.05 -95.9936547862149 23.0015214534478
157 610.7525 343.318 1016.4 -95.9941540799911 23.0031590615631
158 644.08 397.6284 1015.75 -95.993835046512 23.0036588066063
159 706.343 400.7495 1012.75 -95.9932390803795 23.0036874879831
160 618.5005 453.153 1018.1 -95.994079853218 23.0041697581107
161 562.0308 480.907 1021.6 -95.9946203533644 23.004425180534
